target,cell_line,assay_title,institute_name,string_biological_replicates,organism,term_id,title,accession,status,assay_term_name,replication_type,date_released,assembly,file_format,file_size,file_type,output_category,output_type,read_length,read_length_units,run_type,schema_version,encode_version,biological_replicates,technical_replicates,url
AKAP8,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF379DQR,released,ChIP-seq,isogenic,2020-08-28,GRCh38,bigWig,862882207,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/08/22/df7abb84-0ff9-45e8-890f-909aa3657c9b/ENCFF379DQR.bigWig
AKNA,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF770NFX,released,ChIP-seq,isogenic,2020-07-08,GRCh38,bigWig,1048711760,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/01/a2ccf75d-d6bc-4077-bb75-592bde16c096/ENCFF770NFX.bigWig
ARHGAP35,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF452FAK,released,ChIP-seq,isogenic,2018-01-26,GRCh38,bigWig,2425881263,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/12/03/10e1b456-19dd-404f-b66e-7fe23e8fc40f/ENCFF452FAK.bigWig
ARID1B,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF697GTL,released,ChIP-seq,isogenic,2016-11-30,GRCh38,bigWig,4023271218,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/11/18/021e6e2c-abd5-4777-b04f-98b40dfe523d/ENCFF697GTL.bigWig
ARID2,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF748CGJ,released,ChIP-seq,isogenic,2017-09-28,GRCh38,bigWig,2341042825,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/12/04/df85ede6-66fc-4d35-82ba-5f9e95c38233/ENCFF748CGJ.bigWig
ARID3A,GM12878,TF ChIP-seq,Stanford University,"[5, 6]",human,EFO:0002784,"Michael Snyder, Stanford",ENCFF830CXC,released,ChIP-seq,isogenic,2017-01-31,GRCh38,bigWig,1819813682,bigWig,signal,fold change over control,,,,26,4.0,"[5, 6]","['5_1', '6_1']",https://encode-public.s3.amazonaws.com/2020/12/02/951b1de2-4f88-4e70-bc43-fe91eb1a42fc/ENCFF830CXC.bigWig
ARID3A,HepG2,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001187,"Michael Snyder, Stanford",ENCFF116CGF,released,ChIP-seq,isogenic,2012-05-14,GRCh38,bigWig,710328404,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/12/16/ce468e2d-f0a2-450e-b057-f1a831e8c5a8/ENCFF116CGF.bigWig
ARID3A,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF424NIV,released,ChIP-seq,isogenic,2012-05-14,GRCh38,bigWig,548450644,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/12/16/e1b3757a-7f4c-4973-8479-98c2679b4aa4/ENCFF424NIV.bigWig
ARID3A,MCF-7,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001203,"Michael Snyder, Stanford",ENCFF468GVQ,released,ChIP-seq,isogenic,2016-11-17,GRCh38,bigWig,2234522691,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/11/02/c76591d8-1119-4a46-a295-df21c3f66559/ENCFF468GVQ.bigWig
ARID3B,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF740OGZ,released,ChIP-seq,isogenic,2020-08-03,GRCh38,bigWig,1762990004,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/03/eb7fbe65-58c0-44d7-bc0f-bc96fa86de06/ENCFF740OGZ.bigWig
ARID4A,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF961AWI,released,ChIP-seq,isogenic,2020-06-30,GRCh38,bigWig,1052415397,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/06/29/b6e1284c-f4eb-457a-b4cb-9d88e3452e50/ENCFF961AWI.bigWig
ARID4B,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF971IZU,released,ChIP-seq,isogenic,2016-11-08,GRCh38,bigWig,882216208,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/11/07/145b5b3c-dffa-41d9-b153-21e710f31e8f/ENCFF971IZU.bigWig
ARID5B,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF003ODG,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,1641215349,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/06/30/11ba9cb4-7a41-45fc-90ca-215a85c6024b/ENCFF003ODG.bigWig
ARNT,GM12878,TF ChIP-seq,Stanford University,"[2, 3]",human,EFO:0002784,"Michael Snyder, Stanford",ENCFF343TRG,released,ChIP-seq,isogenic,2017-11-14,GRCh38,bigWig,2211425473,bigWig,signal,fold change over control,,,,26,4.0,"[2, 3]","['2_1', '3_1']",https://encode-public.s3.amazonaws.com/2020/12/03/572e8954-7eec-436c-b27d-0faf66162c96/ENCFF343TRG.bigWig
ARNT,HepG2,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001187,"Michael Snyder, Stanford",ENCFF330JGK,released,ChIP-seq,isogenic,2017-01-31,GRCh38,bigWig,2402522685,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/11/29/e59e7617-d2ce-4ad5-a897-039d17686c00/ENCFF330JGK.bigWig
ARNT,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF981KCA,released,ChIP-seq,isogenic,2016-04-21,GRCh38,bigWig,2156741874,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/24/311c499d-4bc6-450b-863d-bb8fca837ae0/ENCFF981KCA.bigWig
ARNT,K562,TF ChIP-seq,Stanford University,"[3, 4]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF300RKC,released,ChIP-seq,isogenic,2018-01-26,GRCh38,bigWig,1964231580,bigWig,signal,fold change over control,,,,26,4.0,"[3, 4]","['3_1', '4_1']",https://encode-public.s3.amazonaws.com/2020/12/04/6ba01791-3334-4ac1-b48e-42826b39cbf1/ENCFF300RKC.bigWig
ARNTL,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF458BFT,released,ChIP-seq,isogenic,2020-07-08,GRCh38,bigWig,751810613,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/01/a50473d2-b317-495e-ae93-4c627db1c3e9/ENCFF458BFT.bigWig
ASH1L,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF129ETR,released,ChIP-seq,isogenic,2018-01-26,GRCh38,bigWig,2557190446,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/24/1aafc48b-c9e3-42bf-b49e-1c9179b73c2f/ENCFF129ETR.bigWig
ASH2L,GM12878,TF ChIP-seq,Broad Institute,"[1, 2]",human,EFO:0002784,"Bradley Bernstein, Broad",ENCFF384BWK,released,ChIP-seq,isogenic,2017-01-08,GRCh38,bigWig,1387985143,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/11/14/0e086de7-f331-4198-96ed-fe9b45e2c35b/ENCFF384BWK.bigWig
ASH2L,HepG2,TF ChIP-seq,Broad Institute,"[1, 2]",human,EFO:0001187,"Bradley Bernstein, Broad",ENCFF971PWH,released,ChIP-seq,isogenic,2017-11-19,GRCh38,bigWig,1610430139,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '1_2', '2_1']",https://encode-public.s3.amazonaws.com/2017/11/17/1c811d27-6c90-4e9c-a3d6-c1074a622405/ENCFF971PWH.bigWig
ATAD3A,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF611IAO,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,1579975481,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/02/934070ef-51d1-4d8f-971c-e4e7744e1b86/ENCFF611IAO.bigWig
ATF1,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF912JZP,released,ChIP-seq,isogenic,2016-06-14,GRCh38,bigWig,798398462,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/24/60e7ed93-88ee-438c-8be8-b0d2498d0c8d/ENCFF912JZP.bigWig
ATF1,K562,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0002067,"Richard Myers, HAIB",ENCFF278PDS,released,ChIP-seq,isogenic,2016-06-14,GRCh38,bigWig,1013486550,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/24/814df975-8947-47e7-8b5f-23918d039142/ENCFF278PDS.bigWig
ATF1,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF090IHN,released,ChIP-seq,isogenic,2016-01-14,GRCh38,bigWig,1837337143,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/11/29/3e073b08-0399-4fc2-a9cd-2c178938b54c/ENCFF090IHN.bigWig
ATF2,GM12878,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0002784,"Richard Myers, HAIB",ENCFF732LDY,released,ChIP-seq,isogenic,2012-02-29,GRCh38,bigWig,897902526,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/12/16/b71c88d7-96ff-488e-be20-9f7751327659/ENCFF732LDY.bigWig
ATF2,GM12878,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002784,"Michael Snyder, Stanford",ENCFF335GKG,released,ChIP-seq,isogenic,2016-10-26,GRCh38,bigWig,2246067339,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/12/01/35fef589-b4c3-48a9-8ece-8bf1a8d38e63/ENCFF335GKG.bigWig
ATF2,HEK293,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001182,"Michael Snyder, Stanford",ENCFF599ESN,released,ChIP-seq,isogenic,2016-10-07,GRCh38,bigWig,2597513754,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/08/04/9578b0a6-8fdd-488c-9482-6fcaac47c8c8/ENCFF599ESN.bigWig
ATF2,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF562SBY,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,1644300231,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/06/fc11a886-cd40-46f2-a31a-ef571706ac9a/ENCFF562SBY.bigWig
ATF2,HepG2,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001187,"Michael Snyder, Stanford",ENCFF064LQT,released,ChIP-seq,isogenic,2016-07-08,GRCh38,bigWig,2066481049,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2017/01/26/a67e2222-27e2-40e9-a745-95d311474d6f/ENCFF064LQT.bigWig
ATF2,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF749BWV,released,ChIP-seq,isogenic,2016-07-08,GRCh38,bigWig,1803425286,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2017/01/26/58028e75-a8da-4ba3-b97c-dae1007e1eab/ENCFF749BWV.bigWig
ATF3,H1,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0003042,"Richard Myers, HAIB",ENCFF481EHX,released,ChIP-seq,isogenic,2011-07-18,GRCh38,bigWig,411081474,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/12/14/031b5e56-3da5-484d-a0ef-c5a7b9126f86/ENCFF481EHX.bigWig
ATF3,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF795MFC,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,1465584755,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/01/19db2ce8-bb8d-45f1-b8db-39e50221da8a/ENCFF795MFC.bigWig
ATF3,K562,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0002067,"Richard Myers, HAIB",ENCFF619WVY,released,ChIP-seq,isogenic,2011-07-18,GRCh38,bigWig,504874826,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/12/16/0761d2fe-d98e-400d-9a41-682cd84ba5ec/ENCFF619WVY.bigWig
ATF3,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF506QXK,released,ChIP-seq,isogenic,2016-08-24,GRCh38,bigWig,1242349037,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/12/03/57c6ab7a-b7ee-424e-8a65-0c7142be475e/ENCFF506QXK.bigWig
ATF4,HepG2,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001187,"Michael Snyder, Stanford",ENCFF363AAW,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,2072167843,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/08/b8ef334f-c979-49b7-ad58-ca282a923620/ENCFF363AAW.bigWig
ATF4,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF308UOK,released,ChIP-seq,isogenic,2018-01-26,GRCh38,bigWig,2001931028,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/24/42358f3a-eced-404f-9b29-84dd19f180ca/ENCFF308UOK.bigWig
ATF5,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF408ZCM,released,ChIP-seq,isogenic,2020-07-08,GRCh38,bigWig,677768880,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/01/53f56aeb-e3a3-4d99-ac7a-71b73817464f/ENCFF408ZCM.bigWig
ATF6,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF803JQQ,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,1498310341,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/01/5f814a2c-a2f2-4185-af78-23f554c2eb8f/ENCFF803JQQ.bigWig
ATF6,K562,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0002067,"Richard Myers, HAIB",ENCFF208TJQ,released,ChIP-seq,isogenic,2020-07-08,GRCh38,bigWig,1050364381,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/04/776b53c5-827b-4d2d-87d8-9f805876b29c/ENCFF208TJQ.bigWig
ATF7,GM12878,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002784,"Michael Snyder, Stanford",ENCFF751UNU,released,ChIP-seq,isogenic,2016-07-08,GRCh38,bigWig,1869255679,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/11/29/3fa03793-f91b-42a7-b8b1-25f3a2451aee/ENCFF751UNU.bigWig
ATF7,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF523YQA,released,ChIP-seq,isogenic,2020-07-08,GRCh38,bigWig,825390521,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/01/4148158b-bd84-43b1-aa8b-219df6abe4f2/ENCFF523YQA.bigWig
ATF7,HepG2,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001187,"Michael Snyder, Stanford",ENCFF530QXA,released,ChIP-seq,isogenic,2016-07-08,GRCh38,bigWig,2298619932,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/12/03/5bd065bc-e4a8-4528-9e6c-10ee858382b6/ENCFF530QXA.bigWig
ATF7,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF204NFC,released,ChIP-seq,isogenic,2014-07-07,GRCh38,bigWig,2221154097,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/31/f70596f0-3c6b-4449-bb64-793fe4a3f02b/ENCFF204NFC.bigWig
ATF7,MCF-7,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001203,"Michael Snyder, Stanford",ENCFF405ELW,released,ChIP-seq,isogenic,2016-07-08,GRCh38,bigWig,1848969628,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2017/01/26/e4d06afd-bc8b-41da-824a-bf9bdbc67da7/ENCFF405ELW.bigWig
ATM,HepG2,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001187,"Michael Snyder, Stanford",ENCFF782TNO,released,ChIP-seq,isogenic,2017-05-18,GRCh38,bigWig,2138867489,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/24/4536fc2a-bec4-47ad-884a-7b3057381200/ENCFF782TNO.bigWig
ATOH8,A549,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001086,"Michael Snyder, Stanford",ENCFF126OLZ,released,ChIP-seq,isogenic,2020-07-01,GRCh38,bigWig,1368089926,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/06/30/bf77e160-4c00-4c58-89b6-9af33385816e/ENCFF126OLZ.bigWig
ATRX,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF360AZU,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,1503711646,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/02/63f01f26-3ab4-4c0e-aa71-8b2bc3f365c6/ENCFF360AZU.bigWig
BACH1,GM12878,TF ChIP-seq,Stanford University,"[3, 4]",human,EFO:0002784,"Michael Snyder, Stanford",ENCFF900OJJ,released,ChIP-seq,isogenic,2017-01-31,GRCh38,bigWig,1985229475,bigWig,signal,fold change over control,,,,26,4.0,"[3, 4]","['3_1', '4_1']",https://encode-public.s3.amazonaws.com/2020/12/03/aaaac793-60e3-49e9-ac54-db1287954b0f/ENCFF900OJJ.bigWig
BACH1,H1,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0003042,"Michael Snyder, Stanford",ENCFF594ALF,released,ChIP-seq,isogenic,2012-05-14,GRCh38,bigWig,837951877,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/12/16/7dfac733-9bb1-4092-ab64-2846fc6d9667/ENCFF594ALF.bigWig
BACH1,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF836PHI,released,ChIP-seq,isogenic,2012-05-14,GRCh38,bigWig,637830508,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/12/14/44dccb1e-b245-413d-942f-b985978c7e54/ENCFF836PHI.bigWig
BACH1,K562,TF ChIP-seq,University of Chicago,"[1, 2]",human,EFO:0002067,"Kevin White, UChicago",ENCFF245AYE,released,ChIP-seq,isogenic,2016-06-13,GRCh38,bigWig,1012194859,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/19/0f9874f3-7925-4568-9352-7be40588e6b6/ENCFF245AYE.bigWig
